map date,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220726,48029,Bexar County,TX,0,100,100,100,100,54.07,7/26/2022,8/1/2022,1
20220719,48029,Bexar County,TX,0,100,100,100,100,54.07,7/19/2022,7/25/2022,1
20220712,48029,Bexar County,TX,0,100,100,100,100,55.08,7/12/2022,7/18/2022,1
20220705,48029,Bexar County,TX,0,100,100,100,100,27.38,7/5/2022,7/11/2022,1
20220628,48029,Bexar County,TX,0,100,100,100,100,49.45,6/28/2022,7/4/2022,1
20220621,48029,Bexar County,TX,0,100,100,100,100,49.45,6/21/2022,6/27/2022,1
20220614,48029,Bexar County,TX,0,100,100,100,100,49.45,6/14/2022,6/20/2022,1
20220607,48029,Bexar County,TX,0,100,100,100,100,10.4,6/7/2022,6/13/2022,1
20220531,48029,Bexar County,TX,0,100,100,100,88.65,1.2,5/31/2022,6/6/2022,1
20220524,48029,Bexar County,TX,0,100,100,100,88.65,1.2,5/24/2022,5/30/2022,1
20220517,48029,Bexar County,TX,0,100,100,100,56.92,1.2,5/17/2022,5/23/2022,1
20220510,48029,Bexar County,TX,0,100,100,100,56.92,1.09,5/10/2022,5/16/2022,1
20220503,48029,Bexar County,TX,0,100,100,100,56.92,1.09,5/3/2022,5/9/2022,1
20220426,48029,Bexar County,TX,0,100,100,100,57.16,0.86,4/26/2022,5/2/2022,1
20220419,48029,Bexar County,TX,0,100,100,100,44.45,0,4/19/2022,4/25/2022,1
20220412,48029,Bexar County,TX,0,100,100,99.87,29.06,0,4/12/2022,4/18/2022,1
20220405,48029,Bexar County,TX,0,100,100,99.87,19.9,0,4/5/2022,4/11/2022,1
20220329,48029,Bexar County,TX,0,100,100,96.42,10.65,0,3/29/2022,4/4/2022,1
20220322,48029,Bexar County,TX,0,100,100,96.42,10.65,0,3/22/2022,3/28/2022,1
20220315,48029,Bexar County,TX,0,100,100,96.42,0.54,0,3/15/2022,3/21/2022,1
20220308,48029,Bexar County,TX,0,100,96.42,30.95,0,0,3/8/2022,3/14/2022,1
20220301,48029,Bexar County,TX,4.27,95.73,43.4,0.19,0,0,3/1/2022,3/7/2022,1
20220222,48029,Bexar County,TX,4.27,95.73,41.67,0.19,0,0,2/22/2022,2/28/2022,1
20220215,48029,Bexar County,TX,4.27,95.73,41.67,0.19,0,0,2/15/2022,2/21/2022,1
20220208,48029,Bexar County,TX,4.27,95.73,41.67,0.19,0,0,2/8/2022,2/14/2022,1
20220201,48029,Bexar County,TX,0,100,100,18.68,0,0,2/1/2022,2/7/2022,1
20220125,48029,Bexar County,TX,0,100,100,3.1,0,0,1/25/2022,1/31/2022,1
20220118,48029,Bexar County,TX,0,100,46.2,0,0,0,1/18/2022,1/24/2022,1
20220111,48029,Bexar County,TX,0,100,1.72,0,0,0,1/11/2022,1/17/2022,1
20220104,48029,Bexar County,TX,0,100,2.14,0,0,0,1/4/2022,1/10/2022,1
20211228,48029,Bexar County,TX,98.32,1.68,0,0,0,0,12/28/2021,1/3/2022,1
20211221,48029,Bexar County,TX,98.57,1.43,0,0,0,0,12/21/2021,12/27/2021,1
20211214,48029,Bexar County,TX,99.79,0.21,0,0,0,0,12/14/2021,12/20/2021,1
20211207,48029,Bexar County,TX,99.79,0.21,0,0,0,0,12/7/2021,12/13/2021,1
20211130,48029,Bexar County,TX,100,0,0,0,0,0,11/30/2021,12/6/2021,1
