Month,Day,Year,Temp Max,Temp Avg,Temp Min,Humidity Max,Humidity Avg,Humidity Min,Precipitation
Jan,1,2018,31,28,25,81,60.3,51,0
Jan,2,2018,32,29,24,92,67.4,48,0
Jan,3,2018,55,31.6,16,100,71.6,27,0
Jan,4,2018,54,40.1,23,100,63.5,30,0
Jan,5,2018,60,47.4,37,89,58.3,27,0
Jan,6,2018,64,47.6,28,100,86.1,63,0
Jan,7,2018,69,60.9,54,100,85.6,68,0
Jan,8,2018,69,54.5,36,97,56.9,31,0
Jan,9,2018,70,48.6,32,100,72.1,31,0
Jan,10,2018,70,55.6,43,100,88.4,57,0
Jan,11,2018,71,57,44,100,71.5,30,0
Jan,12,2018,56,43.2,32,61,36.3,20,0
Jan,13,2018,51,36.7,25,78,52.3,25,0
Jan,14,2018,61,39.2,22,100,74,42,0
Jan,15,2018,68,48.3,29,100,84,54,0
Jan,16,2018,37,28.6,26,100,73.5,51,0.14
Jan,17,2018,37,25.6,18,84,58.1,34,0.04
Jan,18,2018,44,36.5,27,75,48.5,30,0
Jan,19,2018,54,46.9,40,100,75.8,55,0
Jan,20,2018,63,54.9,49,100,96,84,0.01
Jan,21,2018,71,65.4,60,100,95.8,84,0
Jan,22,2018,64,54.8,41,97,43.1,18,0
Jan,23,2018,64,44.5,27,96,55.9,18,0
Jan,24,2018,64,42.4,24,100,62.7,22,0
Jan,25,2018,65,47.4,25,96,59.5,23,0
Jan,26,2018,68,58.9,51,93,83.1,71,0
Jan,27,2018,70,62.2,58,100,93.2,65,0.01
Jan,28,2018,70,55.9,34,92,59.4,30,0.05
Jan,29,2018,67,49,34,92,53.1,20,0
Jan,30,2018,66,45,27,100,62.3,25,0
Jan,31,2018,71,51.8,38,100,81.8,32,0
Feb,1,2018,72,60.7,50,100,66.6,31,0
Feb,2,2018,59,51.7,45,54,46.4,38,0
Feb,3,2018,56,48.8,41,100,87.6,54,0.01
Feb,4,2018,74,48.4,34,100,90.8,45,0.01
Feb,5,2018,55,48.3,40,74,65.9,61,0
Feb,6,2018,54,47.8,40,100,94.8,0,0
Feb,7,2018,47,39.9,36,100,79,48,0.05
Feb,8,2018,58,45.9,32,100,74.7,47,0
Feb,9,2018,62,56.2,50,100,85.6,72,0
Feb,10,2018,62,52.9,39,100,96.7,82,0.06
Feb,11,2018,41,34.4,30,100,83.7,64,0
Feb,12,2018,41,36.5,30,89,80.3,70,0.02
Feb,13,2018,46,42.4,37,100,99,89,0.02
Feb,14,2018,70,54,46,100,97.9,81,0.06
Feb,15,2018,77,68.5,64,100,93.5,74,0
Feb,16,2018,76,64.7,58,100,80.4,48,0
Feb,17,2018,60,54,47,100,83.3,59,0
Feb,18,2018,77,60.1,51,100,92.9,66,0.02
Feb,19,2018,80,73.5,69,93,80.4,62,0
Feb,20,2018,73,71.7,70,100,93.2,84,0
Feb,21,2018,72,46,40,100,98.2,90,0.04
Feb,22,2018,44,40.3,37,100,100,100,0.28
Feb,23,2018,63,50.6,43,100,99.6,93,0.09
Feb,24,2018,75,69.4,62,100,90.1,70,0.26
Feb,25,2018,63,57.3,48,100,84.6,65,0
Feb,26,2018,68,54,49,100,90.5,56,0.11
Feb,27,2018,81,66.6,57,100,89.6,56,0.01
Feb,28,2018,83,72.2,68,100,86.9,54,0.03
Mar,1,2018,70,63.3,51,96,73.4,49,0
Mar,2,2018,74,60.3,47,100,75,50,0
Mar,3,2018,72,61,46,100,92.9,66,0
Mar,4,2018,79,70.4,64,100,87.6,58,0.1
Mar,5,2018,83,71.5,61,96,75,27,0
Mar,6,2018,73,60.8,50,52,33.2,15,0
Mar,7,2018,66,53.5,44,76,37.8,20,0
Mar,8,2018,70,55.7,43,80,51.9,21,0
Mar,9,2018,72,61.7,47,90,75.9,59,0
Mar,10,2018,88,72.3,66,96,77.4,40,0
Mar,11,2018,70,66.1,56,94,62.1,27,0
Mar,12,2018,66,54.2,41,76,47.2,27,0
