MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20220705,48029,Bexar County,TX,0.00,100.00,100.00,100.00,100.00,27.38,2022-07-05,2022-07-11,1
20220628,48029,Bexar County,TX,0.00,100.00,100.00,100.00,100.00,49.45,2022-06-28,2022-07-04,1
20220621,48029,Bexar County,TX,0.00,100.00,100.00,100.00,100.00,49.45,2022-06-21,2022-06-27,1
20220614,48029,Bexar County,TX,0.00,100.00,100.00,100.00,100.00,49.45,2022-06-14,2022-06-20,1
20220607,48029,Bexar County,TX,0.00,100.00,100.00,100.00,100.00,10.40,2022-06-07,2022-06-13,1
20220531,48029,Bexar County,TX,0.00,100.00,100.00,100.00,88.65,1.20,2022-05-31,2022-06-06,1
20220524,48029,Bexar County,TX,0.00,100.00,100.00,100.00,88.65,1.20,2022-05-24,2022-05-30,1
20220517,48029,Bexar County,TX,0.00,100.00,100.00,100.00,56.92,1.20,2022-05-17,2022-05-23,1
20220510,48029,Bexar County,TX,0.00,100.00,100.00,100.00,56.92,1.09,2022-05-10,2022-05-16,1
20220503,48029,Bexar County,TX,0.00,100.00,100.00,100.00,56.92,1.09,2022-05-03,2022-05-09,1
20220426,48029,Bexar County,TX,0.00,100.00,100.00,100.00,57.16,0.86,2022-04-26,2022-05-02,1
20220419,48029,Bexar County,TX,0.00,100.00,100.00,100.00,44.45,0.00,2022-04-19,2022-04-25,1
20220412,48029,Bexar County,TX,0.00,100.00,100.00,99.87,29.06,0.00,2022-04-12,2022-04-18,1
20220405,48029,Bexar County,TX,0.00,100.00,100.00,99.87,19.90,0.00,2022-04-05,2022-04-11,1
20220329,48029,Bexar County,TX,0.00,100.00,100.00,96.42,10.65,0.00,2022-03-29,2022-04-04,1
20220322,48029,Bexar County,TX,0.00,100.00,100.00,96.42,10.65,0.00,2022-03-22,2022-03-28,1
20220315,48029,Bexar County,TX,0.00,100.00,100.00,96.42,0.54,0.00,2022-03-15,2022-03-21,1
20220308,48029,Bexar County,TX,0.00,100.00,96.42,30.95,0.00,0.00,2022-03-08,2022-03-14,1
20220301,48029,Bexar County,TX,4.27,95.73,43.40,0.19,0.00,0.00,2022-03-01,2022-03-07,1
20220222,48029,Bexar County,TX,4.27,95.73,41.67,0.19,0.00,0.00,2022-02-22,2022-02-28,1
20220215,48029,Bexar County,TX,4.27,95.73,41.67,0.19,0.00,0.00,2022-02-15,2022-02-21,1
20220208,48029,Bexar County,TX,4.27,95.73,41.67,0.09,0.00,0.00,2022-02-08,2022-02-14,1
20220201,48029,Bexar County,TX,0.00,100.00,100.00,18.68,0.00,0.00,2022-02-01,2022-02-07,1
20220125,48029,Bexar County,TX,0.00,100.00,100.00,3.10,0.00,0.00,2022-01-25,2022-01-31,1
20220118,48029,Bexar County,TX,0.00,100.00,46.20,0.00,0.00,0.00,2022-01-18,2022-01-24,1
20220111,48029,Bexar County,TX,0.00,100.00,1.72,0.00,0.00,0.00,2022-01-11,2022-01-17,1
20220104,48029,Bexar County,TX,0.00,100.00,2.14,0.00,0.00,0.00,2022-01-04,2022-01-10,1
20211228,48029,Bexar County,TX,98.32,1.68,0.00,0.00,0.00,0.00,2021-12-28,2022-01-03,1
20211221,48029,Bexar County,TX,98.57,1.43,0.00,0.00,0.00,0.00,2021-12-21,2021-12-27,1
20211214,48029,Bexar County,TX,99.79,0.21,0.00,0.00,0.00,0.00,2021-12-14,2021-12-20,1
20211207,48029,Bexar County,TX,99.79,0.21,0.00,0.00,0.00,0.00,2021-12-07,2021-12-13,1
20211130,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-11-30,2021-12-06,1
20211123,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-11-23,2021-11-29,1
20211116,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-11-16,2021-11-22,1
20211109,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-11-09,2021-11-15,1
20211102,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-11-02,2021-11-08,1
20211026,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-10-26,2021-11-01,1
20211019,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-10-19,2021-10-25,1
20211012,48029,Bexar County,TX,67.35,32.65,0.00,0.00,0.00,0.00,2021-10-12,2021-10-18,1
20211005,48029,Bexar County,TX,98.18,1.82,0.00,0.00,0.00,0.00,2021-10-05,2021-10-11,1
20210928,48029,Bexar County,TX,17.10,82.90,0.00,0.00,0.00,0.00,2021-09-28,2021-10-04,1
20210921,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-09-21,2021-09-27,1
20210914,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-09-14,2021-09-20,1
20210907,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-09-07,2021-09-13,1
20210831,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-08-31,2021-09-06,1
20210824,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-08-24,2021-08-30,1
20210817,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-08-17,2021-08-23,1
20210810,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-08-10,2021-08-16,1
20210803,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-08-03,2021-08-09,1
20210727,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-27,2021-08-02,1
20210720,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-20,2021-07-26,1
20210713,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-13,2021-07-19,1
20210706,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-07-06,2021-07-12,1
20210629,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-06-29,2021-07-05,1
20210622,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-06-22,2021-06-28,1
20210615,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-06-15,2021-06-21,1
20210608,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-06-08,2021-06-14,1
20210601,48029,Bexar County,TX,100.00,0.00,0.00,0.00,0.00,0.00,2021-06-01,2021-06-07,1
20210525,48029,Bexar County,TX,81.11,18.89,0.00,0.00,0.00,0.00,2021-05-25,2021-05-31,1
20210518,48029,Bexar County,TX,34.01,65.99,18.89,0.00,0.00,0.00,2021-05-18,2021-05-24,1
20210511,48029,Bexar County,TX,33.71,66.29,35.76,0.00,0.00,0.00,2021-05-11,2021-05-17,1
20210504,48029,Bexar County,TX,33.71,66.29,35.76,0.00,0.00,0.00,2021-05-04,2021-05-10,1
20210427,48029,Bexar County,TX,0.00,100.00,100.00,63.17,29.10,0.00,2021-04-27,2021-05-03,1
20210420,48029,Bexar County,TX,0.00,100.00,100.00,70.48,29.10,0.00,2021-04-20,2021-04-26,1
20210413,48029,Bexar County,TX,0.00,100.00,100.00,70.48,29.10,0.00,2021-04-13,2021-04-19,1
20210406,48029,Bexar County,TX,0.00,100.00,100.00,70.48,0.00,0.00,2021-04-06,2021-04-12,1
20210330,48029,Bexar County,TX,0.00,100.00,100.00,51.43,0.00,0.00,2021-03-30,2021-04-05,1
20210323,48029,Bexar County,TX,0.00,100.00,100.00,51.43,0.00,0.00,2021-03-23,2021-03-29,1
20210316,48029,Bexar County,TX,0.00,100.00,100.00,51.43,0.00,0.00,2021-03-16,2021-03-22,1
20210309,48029,Bexar County,TX,0.00,100.00,100.00,28.82,0.00,0.00,2021-03-09,2021-03-15,1
20210302,48029,Bexar County,TX,0.00,100.00,88.23,28.82,0.00,0.00,2021-03-02,2021-03-08,1
